FID,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,TotDis,TotChild,OlderAdult,Low_to_No,LEP,POC2,MedIllnes,Neighborhood,Neighborhood_full,Shape__Area,Open Space Count,Open Space Area in acres,Storm Water Priorities,TempHotSpotsLevel,Temperature Hot Spots,Emergency Services Hotspots
1,4496898.63,103.2346,7592,3823,400,173,144,3300,3444,3011,2831.85,All,Allston,0.0000457,1,5.52780408,Low,3,High,0
2,34093613.71,782.6818,28634,18365,1892,1686,3759,5316,9075,6923,11842.96,BB,Back Bay,0.000346131,33,428.6603319,Medium,2,Medium,0
3,9390969.04,215.587,10850,5076,1122,1249,1711,3929,5640,6008,4292.93,BV,Bay Village,0.0000953,12,3.627913,Low,1,Low,1
4,101341223.7,2326.4742,60821,27143,5502,4244,5847,17067,22914,19768,23936.8,Brg,Brighton,0.001028674,70,1284.212154,Low,3,High,2
5,37683440.08,865.0927,16439,8648,1535,3301,1811,4157,5968,3981,6461.47,CH,Charlestown,0.000382611,52,111.8731944,Medium,3,High,1
6,131273458.3,3013.624,69695,27507,9819,17424,6535,22749,29284,50778,25010.76,Dor,Dorchester,0.00133164,128,813.3672719,Medium,2,Medium,7
7,149438025.4,3430.6251,40517,15857,5180,8665,4147,13698,17845,25459,14824.6,EB,East Boston,0.001517393,79,591.8351819,High,1,Low,1
8,24028100.88,551.6093,27138,9243,1240,453,496,6681,7177,9808,10080.74,Fen,Fenway,0.000243803,21,280.2045857,Low,3,High,0
9,35693132.84,819.4016,535,0,179,0,12,349,361,370,230.53,HI,Harbor Islands,0.000362207,9,746.059841,Medium,1,Low,0
10,91525481.04,2101.136,17120,6592,2296,3256,2231,3032,5263,11502,6642.99,HP,Hyde Park,0.000928047,43,1532.896051,Medium,2,Medium,2
11,116395432.1,2672.0715,42251,18844,4570,7300,4381,12985,17366,22247,16600.57,JP,Jamaica Plain,0.001181014,167,3223.250253,Low,1,Low,1
12,10969123.93,251.8164,5902,3383,457,465,812,1253,2065,2378,2397.59,LD,Leather District,0.000111356,33,22.95648785,Medium,1,Low,1
13,5480700.06,125.8196,4861,416,207,118,11,186,197,1480,1824.08,Lo ,Longwood Medical Area,5.56E-05,13,182.7861321,Low,3,High,6
14,84799034.46,1946.7179,43866,17316,6269,9442,4896,10970,15866,32134,16618.54,Mat,Mattapan,0.000860014,28,971.5620631,Medium,3,High,1
15,22642658.47,519.8039,22576,6923,2215,1973,1525,8869,10394,10624,8467.93,MH,Mission Hill,0.0002297,47,392.5710159,Low,3,High,2
16,331812430.1,7617.3653,136576,53474,16014,22554,13856,37295,51151,80365,52551.7,NE,North End,0.003365731,91,97.31168412,Medium,2,Medium,2
17,232257149.1,5331.8905,60973,25153,7286,13324,8231,11249,19480,33106,24029.32,Ros,Roslindale,0.002355189,200,6035.552648,Medium,1,Low,1
18,235461652.8,5405.4557,100764,43067,15191,24275,10307,36894,47201,76338,37314,Rox,Roxbury,0.002387907,143,423.9703204,Medium,3,High,6
19,19161660.49,439.8914,22067,11059,2143,3455,2395,5491,7886,4258,8925.16,SB,South Boston,0.0001945,10,25.27562224,High,2,Medium,1
20,35169461.04,807.3797,6135,3472,357,392,456,601,1057,598,2514.93,SBW,South Boston Waterfront,0.000357002,26,76.59043812,Low,1,Low,1
21,30542220.84,701.1528,16432,9181,1874,2552,1421,4504,5925,6384,6516.8,SE,South End,0.000309968,46,165.186619,Medium,3,High,10
22,104469259.8,111.2542,6853,4613,472,467,772,1412,2184,1400,2807.82,WE,West End,0.00004919,8,16.16308658,Medium,2,Medium,3
